frame,x,y,visible
0,-1,-1,0
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,-1,-1,0
12,-1,-1,0
13,-1,-1,0
14,-1,-1,0
15,1300,456,1
16,1300,456,1
17,1300,456,1
18,-1,-1,0
19,-1,-1,0
20,1294,345,1
21,-1,-1,0
22,1294,345,1
23,-1,-1,0
24,1262,447,1
25,1262,447,1
26,1262,447,1
27,-1,-1,0
28,-1,-1,0
29,-1,-1,0
30,-1,-1,0
31,-1,-1,0
32,-1,-1,0
33,-1,-1,0
34,-1,-1,0
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,1392,471,1
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,1292,396,1
51,1291,394,1
52,-1,-1,0
53,1291,394,1
54,1291,395,1
55,1291,395,1
56,1291,394,1
57,1291,395,1
58,1291,395,1
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,1288,397,1
64,1288,399,1
65,1288,399,1
66,-1,-1,0
67,-1,-1,0
68,-1,-1,0
69,-1,-1,0
70,1288,399,1
71,1287,399,1
72,-1,-1,0
73,-1,-1,0
74,-1,-1,0
75,-1,-1,0
76,-1,-1,0
77,-1,-1,0
78,-1,-1,0
79,-1,-1,0
80,-1,-1,0
81,-1,-1,0
82,1289,400,1
83,-1,-1,0
84,-1,-1,0
85,-1,-1,0
86,1314,459,1
87,-1,-1,0
88,-1,-1,0
89,-1,-1,0
90,-1,-1,0
91,-1,-1,0
92,-1,-1,0
93,-1,-1,0
94,-1,-1,0
95,-1,-1,0
96,-1,-1,0
97,-1,-1,0
98,-1,-1,0
99,-1,-1,0
100,-1,-1,0
101,-1,-1,0
102,-1,-1,0
103,-1,-1,0
104,1292,397,1
105,1292,397,1
106,1292,396,1
107,1292,396,1
108,1444,424,1
109,1444,424,1
110,-1,-1,0
111,-1,-1,0
112,1433,394,1
113,1433,395,1
114,1291,394,1
115,1291,394,1
116,1291,394,1
117,1291,394,1
118,1291,394,1
119,-1,-1,0
120,-1,-1,0
121,1290,394,1
122,-1,-1,0
123,-1,-1,0
124,-1,-1,0
125,-1,-1,0
126,-1,-1,0
127,-1,-1,0
128,-1,-1,0
129,-1,-1,0
130,-1,-1,0
131,-1,-1,0
132,-1,-1,0
133,-1,-1,0
134,-1,-1,0
135,-1,-1,0
136,-1,-1,0
137,-1,-1,0
138,-1,-1,0
139,-1,-1,0
140,-1,-1,0
141,-1,-1,0
142,-1,-1,0
143,-1,-1,0
144,-1,-1,0
145,-1,-1,0
146,1311,387,1
147,1311,387,1
148,1313,386,1
149,1313,386,1
150,1313,386,1
151,-1,-1,0
152,-1,-1,0
153,-1,-1,0
154,1405,723,1
155,1405,723,1
156,-1,-1,0
157,-1,-1,0
158,-1,-1,0
159,-1,-1,0
160,1437,422,1
161,-1,-1,0
162,-1,-1,0
163,-1,-1,0
164,1270,164,1
165,-1,-1,0
166,1270,165,1
167,1270,165,1
168,1270,165,1
169,816,1123,1
170,816,1123,1
171,1193,568,1
172,1193,568,1
173,823,1477,1
174,958,999,1
175,861,1261,1
176,1154,1178,1
177,979,1025,1
178,895,1492,1
179,-1,-1,0
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,1369,822,1
184,1100,589,1
185,-1,-1,0
186,-1,-1,0
187,-1,-1,0
188,1057,592,1
189,1035,589,1
190,1035,589,1
191,1035,589,1
192,1013,590,1
193,1013,590,1
194,990,592,1
195,990,592,1
196,962,596,1
197,962,596,1
198,1755,780,1
199,1755,780,1
200,1755,780,1
201,1075,852,1
202,1075,852,1
203,1669,1288,1
204,1054,131,1
205,1054,131,1
206,1282,165,1
207,-1,-1,0
208,-1,-1,0
209,-1,-1,0
210,1679,757,1
211,1679,757,1
212,801,1472,1
213,935,862,1
214,935,862,1
215,1644,1033,1
216,1644,1033,1
217,1544,1177,1
218,1639,1032,1
219,1619,750,1
220,1105,130,1
221,1745,553,1
222,1744,553,1
223,1744,553,1
224,1061,178,1
225,1494,201,1
226,893,672,1
227,859,697,1
228,-1,-1,0
229,-1,-1,0
230,1203,166,1
231,-1,-1,0
232,1201,166,1
233,-1,-1,0
234,-1,-1,0
235,-1,-1,0
236,-1,-1,0
237,-1,-1,0
238,-1,-1,0
239,-1,-1,0
240,-1,-1,0
241,-1,-1,0
242,-1,-1,0
243,1280,442,1
244,1301,456,1
245,-1,-1,0
246,-1,-1,0
247,1223,673,1
248,1223,673,1
249,-1,-1,0
250,-1,-1,0
251,-1,-1,0
252,-1,-1,0
253,-1,-1,0
254,-1,-1,0
255,-1,-1,0
256,-1,-1,0
257,-1,-1,0
258,-1,-1,0
259,-1,-1,0
260,-1,-1,0
261,-1,-1,0
262,-1,-1,0
263,-1,-1,0
264,-1,-1,0
